Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
NIST Cybersecurity Framework,PR.DS-1,Data at Rest,asset-EILT0197,Warning,System Check: Controlled Folder Access,auto-ev-EILT0197-PR.DS-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,ID.AM-1,Asset Management,asset-EILT0197,Compliant,System Check: Secure Boot,auto-ev-EILT0197-ID.AM-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,ID.AM-1,Asset Management,asset-EILT0197,Compliant,System Check: Windows Update Service,auto-ev-EILT0197-ID.AM-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,ID.AM-1,Asset Management,asset-EILT0197,Compliant,System Check: Prohibited Software,auto-ev-EILT0197-ID.AM-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.12.1.2,Unknown Control,asset-EILT0197,Non-Compliant,System Check: Secure Boot,auto-ev-EILT0197-A.12.1.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,Unnamed Evidence,N/A,N/A,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,System Check: Secure Boot,auto-ev-EILT0197-CC7.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,System Check: SMBv1 Protocol Disabled,auto-ev-EILT0197-CC7.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,System Check: Device Guard/WDAC,auto-ev-EILT0197-CC7.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,System Check: Exploit Protection (DEP/ASLR),auto-ev-EILT0197-CC7.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.2,Vulnerability Management,asset-EILT0197,Warning,System Check: Attack Surface Reduction,auto-ev-EILT0197-CC7.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-6.2,System Patches,asset-EILT0197,Compliant,System Check: Windows Update Service,auto-ev-EILT0197-PCI-6.2-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.8,Management of Technical Vulnerabilities,asset-EILT0197,Warning,System Check: Windows Update Service,auto-ev-EILT0197-A.12.6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.8,Management of Technical Vulnerabilities,asset-EILT0197,Warning,System Check: SMBv1 Protocol Disabled,auto-ev-EILT0197-A.12.6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO/IEC 27001:2022,A.8.8,Management of Technical Vulnerabilities,asset-EILT0197,Warning,System Check: Exploit Protection (DEP/ASLR),auto-ev-EILT0197-A.12.6.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
SOC 2 Type II,CC7.3,Patch Management,asset-EILT0197,Compliant,System Check: Windows Update Service,auto-ev-EILT0197-CC7.3-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Unknown,DE.CM-8,Unknown Control,asset-EILT0197,Compliant,System Check: Windows Update Service,auto-ev-EILT0197-DE.CM-8-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
Payment Card Industry Data Security Standard,PCI-10.1,Audit Logging,asset-EILT0197,Non-Compliant,System Check: Audit Logging Policy,auto-ev-EILT0197-PCI-10.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
NIST Cybersecurity Framework,DE.AE-1,Anomalies and Events,asset-EILT0197,Non-Compliant,System Check: Audit Logging Policy,auto-ev-EILT0197-DE.AE-1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
ISO 27001 (Assumed),A.12.4.1,Unknown Control,asset-EILT0197,Compliant,System Check: Audit Logging Policy,auto-ev-EILT0197-A.12.4.1-2026-02-25T14:29:50.549067+00:00,Verified,2026-02-25T14:29:50.549067+00:00
