Framework,Control ID,Control Name,Asset ID,Status,Evidence Name,Evidence ID,Verification Status,Last Updated
ISO/IEC 27001:2022,A.5.5,Contact with Authorities,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.5-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.6,Contact with Special Interest Groups,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.6-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.7,Threat Intelligence,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.7-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.8,Information Security in Project Management,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.8-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.9,Inventory of Information and Other Associated Assets,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.9-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.10,Acceptable Use of Information and Other Associated Assets,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.10-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.11,Return of Assets,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.11-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.12,Classification of Information,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.12-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.13,Labelling of Information,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.13-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.14,Information Transfer,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.14-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.16,Identity Management,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.16-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.17,Authentication Information,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.17-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.18,Access Rights,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.18-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.19,Information Security in Supplier Relationships,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.19-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.20,Addressing Information Security within Supplier Agreements,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.20-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
ISO/IEC 27001:2022,A.5.21,Managing Information Security in the ICT Supply Chain,asset-srihari-laptop,Compliant,System Check: Universal Non-Tech Controls Simulation,auto-ev-srihari-laptop-A.5.21-2026-02-25T17:39:59.592435+00:00,N/A,2026-02-25T17:39:59.592435+00:00
